Tier1,Cohort,Group,Feature,PC,N,Cohens_d,P_value,Direction
Lung cancer,LUCAS Cohort,LUCAS Internal Control,ratio_pc_01,PC1†,78,0.12468638070632868,0.2804636326695864,ns
Lung cancer,LUCAS Cohort,LUCAS Internal Control,ratio_pc_02,PC2†,78,0.0063975961616307255,0.80816549684085,ns
Lung cancer,LUCAS Cohort,LUCAS Internal Control,ratio_pc_03,PC3,78,-0.05292139606292068,0.9082914182128203,ns
Lung cancer,LUCAS Cohort,LUCAS Internal Control,ratio_pc_04,PC4,78,-0.238375956063585,0.14082926137120838,ns
Lung cancer,LUCAS Cohort,LUCAS Internal Control,ratio_pc_05,PC5,78,-0.10163956850355939,0.4428623181198023,ns
Lung cancer,LUCAS Cohort,LUCAS Internal Control,ratio_pc_06,PC6,78,-0.23468219443253494,0.20384338843822386,ns
Lung cancer,LUCAS Cohort,LUCAS Internal Control,ratio_pc_07,PC7,78,0.3070503583872824,0.1033839985121623,ns
Lung cancer,LUCAS Cohort,LUCAS Internal Control,ratio_pc_08,PC8,78,-0.05516484593968984,0.7890038931486865,ns
Lung cancer,LUCAS Cohort,LUCAS Internal Control,ratio_pc_09,PC9,78,-0.19751643350394416,0.6060539543471983,ns
Lung cancer,LUCAS Cohort,LUCAS Internal Control,ratio_pc_10,PC10,78,-0.03969284360710772,0.930799890121673,ns
Lung cancer,LUCAS Cohort,LUCAS Internal Control,ratio_pc_11,PC11,78,0.07390487242568576,0.39594218366828404,ns
Lung cancer,JHU Cohort,JHU Internal Control,ratio_pc_01,PC1†,192,0.024416285640053884,0.4152269351006338,ns
Lung cancer,JHU Cohort,JHU Internal Control,ratio_pc_02,PC2†,192,0.012656786637734641,0.7103290146660514,ns
Lung cancer,JHU Cohort,JHU Internal Control,ratio_pc_03,PC3,192,-0.07806385825693253,0.7137424408544317,ns
Lung cancer,JHU Cohort,JHU Internal Control,ratio_pc_04,PC4,192,0.007890968140222642,0.7069213896626799,ns
Lung cancer,JHU Cohort,JHU Internal Control,ratio_pc_05,PC5,192,0.03608055511707493,0.850699520595396,ns
Lung cancer,JHU Cohort,JHU Internal Control,ratio_pc_06,PC6,192,0.05870632200946845,0.36816684328714017,ns
Lung cancer,JHU Cohort,JHU Internal Control,ratio_pc_07,PC7,192,-0.03881480039926268,0.6618488154637338,ns
Lung cancer,JHU Cohort,JHU Internal Control,ratio_pc_08,PC8,192,-0.09363869129308891,0.3030212090740327,ns
Lung cancer,JHU Cohort,JHU Internal Control,ratio_pc_09,PC9,192,0.07107540815091273,0.5574317524023131,ns
Lung cancer,JHU Cohort,JHU Internal Control,ratio_pc_10,PC10,192,-0.10244613391241689,0.31038947757220636,ns
Lung cancer,JHU Cohort,JHU Internal Control,ratio_pc_11,PC11,192,0.10347863838507816,0.2178000036397994,ns
Lung cancer,LUCAS Cohort,Early (I/II),ratio_pc_01,PC1†,22,0.2069221169497339,0.5573621225918053,ns
Lung cancer,LUCAS Cohort,Early (I/II),ratio_pc_02,PC2†,22,0.45538828017220995,0.4142128038797252,ns
Lung cancer,LUCAS Cohort,Early (I/II),ratio_pc_03,PC3,22,0.1157629583082445,0.6171904744906653,ns
Lung cancer,LUCAS Cohort,Early (I/II),ratio_pc_04,PC4,22,0.7764049312695391,0.0011774879361333543,higher
Lung cancer,LUCAS Cohort,Early (I/II),ratio_pc_05,PC5,22,0.6758298558718114,0.00647489063904468,higher
