model,comparison,stage,n_stage,n_non_cancer,median_stage,median_non_cancer,W_statistic,p_value,p_adj_fdr
DELFI,Stage I vs Non-cancer,I,9,84,0.3035669174079586,0.16449259991448606,509,0.08992252033991484,0.08992252033991484
DELFI,Stage II vs Non-cancer,II,4,84,0.5820768129265315,0.16449259991448606,272,0.038142511389229146,0.050856681852305526
DELFI,Stage III vs Non-cancer,III,18,84,0.8055352840197829,0.16449259991448606,1351,1.8035123161241947e-7,3.6070246322483895e-7
DELFI,Stage IV vs Non-cancer,IV,29,84,0.9414924663873517,0.16449259991448606,2228,3.2229633856300216e-11,1.2891853542520087e-10
Proteomics,Stage I vs Non-cancer,I,9,84,0.2620751615222882,0.23275866238792578,448,0.36645653482688956,0.36645653482688956
Proteomics,Stage II vs Non-cancer,II,4,84,0.5082060273549748,0.23275866238792578,248,0.11126115050703403,0.14834820067604537
Proteomics,Stage III vs Non-cancer,III,18,84,0.7831008107198749,0.23275866238792578,1337,3.475736433367116e-7,6.951472866734232e-7
Proteomics,Stage IV vs Non-cancer,IV,29,84,0.7535845190652821,0.23275866238792578,2232,2.6959970633979273e-11,1.0783988253591709e-10
DELFI-Pro Lung,Stage I vs Non-cancer,I,9,84,0.21791881095485477,0.08216494201805441,554,0.0225740559283511,0.0225740559283511
DELFI-Pro Lung,Stage II vs Non-cancer,II,4,84,0.684672367636209,0.08216494201805441,316,0.0031294141558552585,0.004172552207807011
DELFI-Pro Lung,Stage III vs Non-cancer,III,18,84,0.9827281426158885,0.08216494201805441,1446,1.4266946822179818e-9,2.8533893644359635e-9
DELFI-Pro Lung,Stage IV vs Non-cancer,IV,29,84,0.9994284245231826,0.08216494201805441,2264,6.299292466033122e-12,2.5197169864132488e-11
