length	ct_index	w_count	hard0	hard30	hard50	all_count
50	1	22.9712	3	1	1	233
50	2	7.6621	0	0	0	233
50	3	93.8324	155	123	70	233
50	4	4.6245	0	0	0	233
50	5	10.6260	1	1	1	233
50	6	19.0599	0	0	0	233
50	7	45.8647	72	51	6	233
50	8	7.0727	0	0	0	233
50	9	12.1933	1	0	0	233
50	10	9.0928	1	1	1	233
51	1	23.3290	2	2	0	242
51	2	9.2709	1	1	1	242
51	3	103.2705	182	155	79	242
51	4	5.3897	1	1	1	242
51	5	9.9413	0	0	0	242
51	6	19.2097	4	4	3	242
51	7	39.8316	50	31	4	242
51	8	6.9628	0	0	0	242
51	9	15.3311	1	1	1	242
51	10	9.4631	1	1	1	242
52	1	24.1599	7	4	2	228
52	2	8.5636	1	1	1	228
52	3	85.8325	147	114	56	228
52	4	4.9617	0	0	0	228
52	5	10.2979	0	0	0	228
52	6	19.0228	2	2	0	228
52	7	43.8414	65	52	5	228
52	8	7.6126	1	1	1	228
52	9	15.1594	5	3	3	228
52	10	8.5483	0	0	0	228
53	1	23.2889	3	3	1	219
53	2	8.1688	1	0	0	219
53	3	84.7345	139	107	59	219
53	4	4.3853	0	0	0	219
53	5	9.4693	0	0	0	219
53	6	19.1058	2	2	1	219
53	7	43.1601	72	49	5	219
53	8	6.7051	0	0	0	219
53	9	12.4375	2	2	1	219
53	10	7.5447	0	0	0	219
54	1	16.3803	2	2	1	180
54	2	7.1494	1	1	1	180
54	3	78.2460	132	111	64	180
54	4	3.1591	0	0	0	180
54	5	6.7710	0	0	0	180
54	6	13.8227	1	1	1	180
54	7	31.4727	41	29	4	180
54	8	5.2236	0	0	0	180
54	9	10.6041	2	1	0	180
54	10	7.1711	1	1	1	180
55	1	18.6204	2	1	1	193
55	2	7.2536	1	1	1	193
55	3	77.3700	129	96	58	193
55	4	3.7025	0	0	0	193
55	5	7.6620	0	0	0	193
55	6	17.7212	3	3	1	193
55	7	37.1115	56	39	2	193
55	8	6.1432	1	1	0	193
55	9	10.4835	0	0	0	193
55	10	6.9321	1	1	0	193
56	1	26.2890	2	1	1	280
56	2	10.9642	2	2	1	280
56	3	107.6288	175	147	75	280
56	4	5.3580	0	0	0	280
56	5	11.9070	0	0	0	280
56	6	25.1087	3	3	3	280
56	7	58.3779	96	70	6	280
56	8	8.5109	0	0	0	280
