length	ct_index	w_count	hard0	hard30	hard50	all_count
50	1	10.8230	3	2	2	96
50	2	4.0502	1	0	0	96
50	3	31.8726	54	39	19	96
50	4	1.9298	0	0	0	96
50	5	5.1765	0	0	0	96
50	6	9.8490	1	1	0	96
50	7	22.9012	36	27	3	96
50	8	3.1056	1	1	0	96
50	9	3.8319	0	0	0	96
50	10	2.4602	0	0	0	96
51	1	11.2389	2	2	1	117
51	2	4.1584	0	0	0	117
51	3	46.3257	69	54	31	117
51	4	2.0336	0	0	0	117
51	5	5.7638	0	0	0	117
51	6	11.2293	2	2	1	117
51	7	24.5861	43	23	0	117
51	8	3.8371	1	1	1	117
51	9	4.8505	0	0	0	117
51	10	2.9767	0	0	0	117
52	1	7.8313	0	0	0	89
52	2	3.7614	0	0	0	89
52	3	29.7940	42	33	16	89
52	4	1.3326	0	0	0	89
52	5	4.1361	0	0	0	89
52	6	10.1834	2	2	2	89
52	7	22.5652	44	20	4	89
52	8	3.3167	1	1	1	89
52	9	4.0111	0	0	0	89
52	10	2.0680	0	0	0	89
53	1	8.5238	1	1	1	92
53	2	5.5545	2	2	2	92
53	3	36.7909	58	45	25	92
53	4	1.4334	0	0	0	92
53	5	4.0208	0	0	0	92
53	6	7.5300	0	0	0	92
53	7	20.4584	31	18	4	92
53	8	2.0697	0	0	0	92
53	9	3.6466	0	0	0	92
53	10	1.9718	0	0	0	92
54	1	9.0432	1	1	1	89
54	2	5.4423	2	2	2	89
54	3	30.9725	48	36	21	89
54	4	1.4795	0	0	0	89
54	5	4.0781	0	0	0	89
54	6	8.4360	0	0	0	89
54	7	21.3280	38	26	0	89
54	8	2.1842	0	0	0	89
54	9	3.8270	0	0	0	89
54	10	2.2094	0	0	0	89
55	1	10.2535	0	0	0	112
55	2	4.8096	1	1	0	112
55	3	41.3002	65	58	29	112
55	4	1.9093	0	0	0	112
55	5	5.6301	1	1	1	112
55	6	10.4547	1	1	0	112
55	7	26.3366	44	26	4	112
55	8	3.0673	0	0	0	112
55	9	4.6858	0	0	0	112
55	10	3.5528	0	0	0	112
56	1	11.0826	0	0	0	123
56	2	7.3022	3	3	2	123
56	3	44.2289	70	55	29	123
56	4	1.9841	0	0	0	123
56	5	5.9252	1	1	0	123
56	6	11.0068	1	1	1	123
56	7	29.9203	48	33	7	123
56	8	3.7999	0	0	0	123
56	9	4.8013	0	0	0	123
56	10	2.9487	0	0	0	123
57	1	12.7220	1	1	1	142
57	2	6.2835	1	1	1	142
57	3	55.2525	87	73	44	142
57	4	2.6883	0	0	0	142
57	5	6.4476	0	0	0	142
57	6	12.6790	2	2	1	142
57	7	32.5414	51	29	4	142
57	8	4.0820	0	0	0	142
57	9	5.6584	0	0	0	142
57	10	3.6454	0	0	0	142
58	1	14.5050	1	1	1	156
58	2	7.8213	1	1	1	156
58	3	54.6121	85	61	31	156
58	4	2.7683	0	0	0	156
58	5	8.2043	1	1	0	156
58	6	15.8165	4	4	1	156
58	7	36.9763	62	38	5	156
58	8	4.1822	0	0	0	156
58	9	6.2290	0	0	0	156
58	10	4.8849	2	2	2	156
59	1	15.3856	3	2	1	150
59	2	8.4851	2	2	2	150
59	3	47.1595	68	53	23	150
59	4	2.6169	0	0	0	150
59	5	7.6297	0	0	0	150
59	6	16.2640	2	2	1	150
59	7	37.2372	74	47	3	150
59	8	4.3853	0	0	0	150
59	9	6.4188	0	0	0	150
59	10	4.4179	1	1	1	150
60	1	22.8652	4	2	1	219
60	2	10.2165	2	1	1	219
60	3	79.3723	121	102	53	219
60	4	3.6324	0	0	0	219
60	5	11.6764	2	1	1	219
60	6	21.1982	1	1	0	219
60	7	49.6646	88	57	7	219
60	8	6.6784	1	1	1	219
60	9	8.3564	0	0	0	219
60	10	5.3392	0	0	0	219
61	1	25.2453	3	3	3	243
61	2	13.0267	2	2	2	243
61	3	83.4339	135	100	49	243
61	4	4.0801	0	0	0	243
61	5	11.7152	0	0	0	243
61	6	22.9744	1	1	0	243
61	7	59.3897	102	63	9	243
61	8	7.1293	0	0	0	243
61	9	9.9935	0	0	0	243
61	10	6.0119	0	0	0	243
62	1	25.5230	3	2	1	258
62	2	13.5135	2	1	1	258
62	3	87.0127	138	107	49	258
62	4	4.5982	0	0	0	258
62	5	13.4614	1	1	1	258
62	6	24.6744	1	1	1	258
62	7	63.0899	112	62	11	258
62	8	8.1660	1	1	1	258
62	9	11.6822	0	0	0	258
62	10	6.2788	0	0	0	258
63	1	20.8024	2	2	1	214
63	2	10.9702	4	3	1	214
63	3	76.6758	116	97	50	214
63	4	3.6370	0	0	0	214
63	5	10.4945	0	0	0	214
63	6	19.3016	0	0	0	214
63	7	51.7800	92	57	10	214
63	8	5.6456	0	0	0	214
63	9	9.1040	0	0	0	214
63	10	5.5889	0	0	0	214
64	1	20.3576	2	2	2	213
64	2	12.1548	4	4	3	213
64	3	77.1936	119	89	49	213
64	4	3.3037	0	0	0	213
64	5	11.2589	2	2	1	213
64	6	18.9044	1	1	1	213
64	7	51.1104	84	53	10	213
64	8	5.8718	1	1	0	213
64	9	8.0629	0	0	0	213
64	10	4.7819	0	0	0	213
65	1	19.1746	1	0	0	206
65	2	10.9982	3	3	3	206
65	3	72.9737	121	88	39	206
65	4	3.5604	0	0	0	206
65	5	9.5490	0	0	0	206
65	6	19.5639	0	0	0	206
65	7	50.3862	81	57	10	206
65	8	6.1302	0	0	0	206
65	9	8.8750	0	0	0	206
65	10	4.7887	0	0	0	206
66	1	22.6124	0	0	0	244
66	2	11.2641	0	0	0	244
66	3	86.6067	129	98	54	244
66	4	4.1254	0	0	0	244
66	5	11.5477	0	0	0	244
66	6	24.8798	4	4	3	244
66	7	59.0414	110	60	9	244
66	8	7.3982	0	0	0	244
66	9	9.7514	0	0	0	244
66	10	6.7730	1	1	1	244
67	1	20.5177	1	1	1	219
67	2	10.3934	3	2	2	219
67	3	80.1484	129	108	54	219
67	4	4.0286	0	0	0	219
67	5	12.0905	1	1	1	219
67	6	20.4999	2	2	2	219
67	7	50.7136	82	54	9	219
67	8	7.0349	1	1	1	219
67	9	8.7124	0	0	0	219
67	10	4.8605	0	0	0	219
68	1	25.3006	1	1	1	267
68	2	11.2906	2	0	0	267
68	3	90.0690	135	104	48	267
68	4	4.9438	0	0	0	267
68	5	14.8813	3	3	1	267
68	6	26.8863	2	1	1	267
68	7	68.7043	123	83	8	267
68	8	7.6411	0	0	0	267
68	9	10.6718	0	0	0	267
68	10	6.6113	1	1	1	267
69	1	27.7432	2	1	1	293
69	2	12.3082	0	0	0	293
69	3	104.4419	154	130	66	293
69	4	5.7266	1	1	0	293
69	5	15.7256	3	3	1	293
69	6	28.0055	3	3	3	293
69	7	67.8509	127	80	9	293
69	8	10.3646	2	2	2	293
69	9	12.5116	0	0	0	293
69	10	8.3218	1	1	1	293
70	1	37.1953	5	4	1	378
70	2	17.5050	3	3	3	378
70	3	135.3735	196	161	86	378
70	4	7.8371	1	1	1	378
70	5	20.3747	4	4	3	378
70	6	37.0623	4	3	2	378
70	7	85.5131	163	97	9	378
70	8	11.3485	1	1	1	378
70	9	16.3337	1	1	1	378
70	10	9.4568	0	0	0	378
71	1	40.5196	4	2	1	421
71	2	19.5646	0	0	0	421
71	3	146.7971	218	171	90	421
71	4	7.2512	0	0	0	421
71	5	21.4455	2	2	2	421
71	6	40.8568	3	3	1	421
71	7	103.1500	192	124	19	421
71	8	12.8479	1	1	1	421
71	9	17.6126	1	0	0	421
71	10	10.9547	0	0	0	421
72	1	35.4354	3	1	1	382
72	2	17.9284	4	3	2	382
72	3	141.4929	213	175	95	382
72	4	7.1310	1	1	0	382
72	5	18.3340	1	1	1	382
72	6	37.7875	4	4	2	382
72	7	86.8422	155	110	11	382
72	8	11.9144	0	0	0	382
72	9	16.0070	1	1	1	382
72	10	9.1270	0	0	0	382
73	1	33.1139	2	1	1	349
73	2	16.1647	2	1	1	349
73	3	124.9193	187	151	85	349
73	4	6.1543	0	0	0	349
73	5	19.1787	3	2	2	349
73	6	33.4582	1	1	0	349
73	7	82.4776	153	95	12	349
73	8	10.6233	1	1	0	349
73	9	14.5588	0	0	0	349
73	10	8.3513	0	0	0	349
74	1	36.1142	3	3	2	365
74	2	17.7949	2	2	1	365
74	3	128.2798	207	159	79	365
74	4	7.0175	0	0	0	365
74	5	18.7780	1	1	0	365
74	6	37.2253	3	3	1	365
74	7	84.8934	148	83	10	365
74	8	10.5302	0	0	0	365
74	9	15.1369	1	0	0	365
74	10	9.2296	0	0	0	365
75	1	32.6655	3	3	1	359
75	2	19.4189	7	6	5	359
75	3	127.0293	187	147	83	359
75	4	6.1116	0	0	0	359
75	5	19.1770	2	2	2	359
75	6	34.4048	1	1	0	359
75	7	85.2351	155	99	18	359
75	8	10.8587	2	1	1	359
75	9	15.4372	2	1	1	359
75	10	8.6623	0	0	0	359
76	1	38.8241	6	5	3	391
