"","ratio_pc_01","ratio_pc_02","ratio_pc_03","ratio_pc_04","ratio_pc_05","ratio_pc_06","ratio_pc_07","ratio_pc_08","ratio_pc_09","ratio_pc_10","ratio_pc_11"
"GEMINI_score",0.342823812289672,0.408330749685322,0.0732728585694813,0.0183109632860272,0.0166951499208033,0.0309637003924432,0.101781626739965,0.0171511872593268,0.0272386683730521,0.00699869077666999,0.0474302522189685
"olink_CEA",0.309182465177664,0.332106207544727,0.052198091233002,0.0128679699204109,0.0696000074924609,0.0595484928280789,0.100698085479119,0.0371497880328744,0.18398099285581,0.133046309244495,0.0724010612100221
"olink_MMP12",0.414363173408741,0.476340096007062,0.0578145889798028,0.0608596512874022,0.087296536998732,0.0124207148669147,0.138234501961622,0.139564618166982,0.139797603424449,0.0469661210744518,0.0448272446285557
"olink_CD4",0.17796610736583,0.114157087258844,0.00507849473681804,0.0327238497311797,0.0344574796348064,0.0671252592797457,0.0996548423756042,0.053021199421814,0.0421709756948169,0.0897159040255424,0.0238963471745699
"olink_CD5",0.00889196820199803,0.0386896108974001,0.0205386661574068,0.00689644056217103,0.0402400144175655,0.0782782345819275,0.0109370525892713,0.163218527511617,0.0493102750071599,0.0250564179500098,0.0444201254365292
"olink_CD8A",0.0303515690769533,0.00260421501637962,0.0950643464141906,0.0545292137054495,0.0374384110985812,0.0126493639082007,0.102461280666933,0.155259090422167,0.00146129154089294,0.0106154534079475,0.0928398834754341
"olink_CD27",0.0119991352829263,0.01090834367377,0.00257730013058343,0.0973756668677186,0.0553903623815591,0.0411413987670909,0.0685499558509914,0.201319695360757,0.0568864826668255,0.0248336534726565,0.00319833039352764
"olink_CD28",0.0242297959898855,0.0638520963370082,0.00273375725598877,0.0340346433389503,0.0503110933297279,0.0784284888921062,0.00588548878616821,0.171396048547424,0.0216887345630129,0.0293462258353102,0.061002222957891
"olink_CRTAM",0.0577689261045478,0.0249057800595826,0.0721476517635385,0.0392132589307459,0.0209624737732628,0.0914449241952045,0.014387661089588,0.159485330463919,0.0749845395777157,0.0079629582929856,0.0157726958055045
"olink_CD40",0.0104953116358079,0.0188886291114475,0.0960679255156647,0.147517403332233,0.0427788565040748,0.0585218182395856,0.113030386371827,0.1364646400118,0.00476086821195878,0.0374755560298373,0.0551819153745933
"olink_CD83",0.0404240512948848,0.00336047653268855,0.0331426787781333,0.067079245760741,0.0554350901895593,0.163314687951239,0.0690283101433867,0.172370926804486,0.0662718216069841,0.0313764222139368,0.0270433367861675
"olink_LAMP3",0.0155753025116833,0.0164952721252179,0.0323043066626312,0.0147046477696288,0.00701252153420514,0.0377828573995974,0.0332703472347699,0.0911240444097196,0.0769257543740304,0.00328056110682541,0.00509840119482258
"olink_NCR1",0.0494353324222337,0.063856933223996,0.0363859968082211,0.0630825760731975,0.0499354132493539,0.0714048586611713,0.100670933887183,0.183532967511705,0.0100999065736204,0.0210429879782479,0.0318145864987951
"olink_KLRD1",0.109152566198083,0.107270346760143,0.0873460518326076,0.0328179942339045,0.034529661807539,0.0180362545954524,0.0494818813982546,0.0845676801290435,0.072471544976633,0.0146399992062589,0.0111263403780471
"olink_PD_L1",0.0255352003209531,0.0198061327892759,0.0261362844629413,0.0606463545436418,0.00662642771430855,0.0068106108330677,0.0600941398861387,0.166021021861113,0.0839439488245086,0.0427813030135543,0.0822187078017956
"olink_PD_L2",0.0100241475337932,0.00725153845510776,0.0236910227232468,0.0768818203352507,0.0174070684060275,0.098597839407757,0.008496631507229,0.0256689877102485,0.0186237920968189,0.0142768301240181,0.0685930957101791
"olink_PDCD1",0.0272671104029968,0.0527006628554339,0.00687226866703692,0.0151475766636241,0.0263373350910186,0.0447328265811247,0.0344917511032507,0.134226733757275,0.0589250084616854,0.00096556189055848,0.0461640911795256
"olink_ICOSLG",0.108448954141984,0.178024504450455,0.0474157435021105,0.0452177256937597,0.00266855886019701,0.0550820031773278,0.0188778278009231,0.0628008306766668,0.0198877415381285,0.0143171819825948,0.05450827872153
"olink_GZMA",0.106683130239041,0.0962149883240556,0.154672033428664,0.0211195000430124,0.0499257237691343,0.0629402907117819,0.0489370405894161,0.193621238782765,0.0510139156299554,0.0263569459600396,0.0823085141880953
"olink_GZMB",0.0388903821690855,0.0199939331311527,0.100717936518661,0.112265956558147,0.0193865986587548,0.117393299768661,0.0165735487905941,0.184878701269721,0.044615977981082,0.0312645485200721,0.059560115577848
"olink_GZMH",0.0503837455914736,0.0112334959890927,0.148955163649669,0.088316395563592,0.0205360926258909,0.0434378931643795,0.014928886984928,0.198101896732785,0.0101089559715636,0.0205319177961433,0.0388703209126915
"olink_VEGFA",0.0838763657483024,0.118583936718031,0.0792695454269814,0.0493663947333901,0.00716387403241367,0.0498314200781906,0.0818973806776626,0.125692527351069,0.0755932817204824,0.0771236587610679,0.068357347342227
"olink_VEGFC",0.151973312772518,0.18668253475468,0.0467304093695442,0.0697920590392937,0.0314371439332053,0.062110166441118,0.0571894810145439,0.0153274218828964,0.00556657988632934,0.00400235328196954,0.0901146909427798
