id,library_batch
PGDX26969P,23
PGDX26962P,23
PGDX26963P,23
PGDX26970P,23
PGDX26964P,23
PGDX26620P,1
PGDX26965P,23
PGDX26622P,1
PGDX26623P,1
PGDX26972P,23
PGDX26625P,1
PGDX26626P,1
PGDX26974P,23
PGDX26628P,1
PGDX26975P,23
PGDX26630P,1
PGDX26631P,2
PGDX26966P,23
PGDX26976P,23
PGDX26634P,2
PGDX26967P,23
PGDX26954P,22
PGDX26930P,21
PGDX26932P,21
PGDX26934P,21
PGDX26640P,2
PGDX26945P,22
PGDX26947P,22
PGDX26642P,2
PGDX26643P,2
PGDX26936P,21
PGDX26951P,22
PGDX26646P,3
PGDX26952P,22
PGDX26931P,21
PGDX26649P,3
PGDX26943P,21
PGDX26949P,22
PGDX26652P,3
PGDX26653P,3
PGDX26953P,22
PGDX26655P,3
PGDX26939P,21
PGDX26940P,21
PGDX26658P,3
PGDX26942P,21
PGDX26959P,22
PGDX26955P,22
PGDX26956P,22
PGDX26960P,22
PGDX26919P,20
PGDX26665P,4
PGDX26913P,20
PGDX26900P,19
PGDX26668P,4
PGDX26914P,20
PGDX26901P,19
PGDX26921P,20
PGDX26905P,19
PGDX26915P,20
PGDX26674P,4
PGDX26926P,20
PGDX26922P,20
PGDX26906P,19
PGDX26678P,5
PGDX26898P,19
PGDX26928P,20
PGDX26681P,5
PGDX26902P,19
PGDX26899P,19
PGDX26917P,20
PGDX26685P,5
PGDX26908P,19
PGDX26687P,5
PGDX26897P,19
PGDX26912P,19
PGDX26918P,20
PGDX26691P,5
PGDX26909P,19
PGDX26903P,19
PGDX26870P,17
PGDX26885P,18
PGDX26886P,18
PGDX26697P,6
PGDX26872P,17
PGDX26888P,18
PGDX26700P,6
PGDX26701P,6
PGDX26871P,17
PGDX26702P,6
PGDX26884P,18
PGDX26868P,17
PGDX26705P,6
PGDX26706P,6
PGDX26882P,18
PGDX26873P,17
PGDX26866P,17
PGDX26714P,7
PGDX26867P,17
PGDX26892P,18
PGDX26875P,17
PGDX26894P,18
PGDX26874P,17
PGDX26879P,17
PGDX26883P,18
PGDX26878P,17
PGDX26720P,7
PGDX26880P,17
PGDX26719P,7
PGDX26877P,17
PGDX26889P,18
PGDX26896P,18
PGDX26725P,8
PGDX26854P,16
PGDX26840P,15
PGDX26850P,16
PGDX26857P,16
PGDX26841P,15
PGDX26834P,15
PGDX26842P,15
PGDX26731P,8
PGDX26736P,8
PGDX26844P,15
PGDX26849P,15
PGDX26732P,8
PGDX26733P,8
PGDX26851P,16
PGDX26739P,8
PGDX26847P,15
PGDX26852P,16
PGDX26860P,16
PGDX26744P,9
PGDX26862P,16
PGDX26845P,15
PGDX26748P,9
PGDX26861P,16
PGDX26846P,15
PGDX26863P,16
PGDX26864P,16
PGDX26752P,9
PGDX26835P,15
PGDX26754P,9
PGDX26859P,16
PGDX26865P,16
PGDX26848P,15
PGDX26822P,14
PGDX26759P,10
PGDX26819P,14
PGDX26804P,13
PGDX26807P,13
PGDX26820P,14
PGDX26823P,14
PGDX26821P,14
PGDX26805P,13
PGDX26818P,14
PGDX26831P,14
PGDX26765P,10
PGDX26825P,14
PGDX26764P,10
PGDX26768P,10
PGDX26808P,13
PGDX26826P,14
PGDX26809P,13
PGDX26832P,14
PGDX26824P,14
PGDX26813P1,13
PGDX26812P,13
PGDX26782P,11
PGDX26811P,13
PGDX26774P,11
PGDX26778P,11
PGDX26830P,14
PGDX26810P,13
PGDX26815P,13
PGDX26817P,13
PGDX26786P,12
PGDX26789P,12
PGDX26787P,12
PGDX26792P,12
PGDX26793P,12
PGDX26788P,12
PGDX26791P,12
PGDX26798P,12
PGDX26794P,12
PGDX26790P,12
PGDX26800P,12
PGDX26796P,12
PGDX26799P,12
PGDX26795P,12
PGDX26801P,12
PGDX26797P,12
PGDX26551P1,10
PGDX26771P,11
PGDX26561P1,10
PGDX26806P,13
PGDX26803P,13
PGDX26775P,11
PGDX26802P,13
PGDX26772P,11
PGDX26776P,11
PGDX26816P,13
PGDX26777P,11
PGDX26284P4,11
PGDX26773P,11
NA,13
NA,10
PGDX26763P1,10
PGDX26762P1,10
PGDX26827P,14
PGDX26758P1,10
PGDX26828P,14
PGDX26761P,10
PGDX26780P,11
PGDX26767P,10
PGDX26784P,11
PGDX26829P,14
PGDX26781P,11
PGDX26770P,10
PGDX26285P3,10
PGDX26769P,10
PGDX26779P,11
PGDX26766P,10
PGDX26833P,14
PGDX26783P,11
PGDX26836P,15
PGDX26785P,11
PGDX26745P,9
PGDX26843P,15
PGDX26741P,9
PGDX26746P,9
PGDX26742P,9
PGDX26747P,9
PGDX26837P,15
PGDX26838P,15
PGDX26839P,15
PGDX26751P,9
PGDX26750P,9
PGDX26753P,9
PGDX26740P,9
PGDX26743P,9
PGDX26853P,16
PGDX26749P,9
PGDX26755P,9
PGDX26712P,7
PGDX26856P,16
PGDX26855P,16
PGDX26726P,8
PGDX26858P,16
PGDX26729P,8
PGDX26730P,8
PGDX26716P,7
PGDX26727P,8
PGDX26709P,7
PGDX26711P,7
PGDX26715P,7
PGDX26286P3,8
PGDX26728P,8
PGDX26713P,7
PGDX26283P4,17
PGDX26735P,8
PGDX26869P,17
PGDX26717P,7
PGDX26710P,7
PGDX26718P,7
PGDX26721P,7
PGDX26738P,8
PGDX26734P,8
PGDX26876P,17
PGDX26722P,7
PGDX26737P,8
PGDX26723P,7
PGDX26724P,7
PGDX26694P,6
PGDX26695P,6
PGDX26696P,6
PGDX26881P,18
PGDX26698P,6
PGDX26699P,6
PGDX26890P,18
PGDX26887P,18
PGDX26287P3,6
PGDX26703P,6
PGDX26893P,18
PGDX26704P,6
PGDX26891P,18
PGDX26707P,6
PGDX26895P,18
PGDX26708P,6
PGDX26679P,5
PGDX26680P,5
PGDX26682P,5
PGDX26683P,5
PGDX26684P,5
PGDX26904P,19
PGDX26686P,5
PGDX26688P,5
PGDX26910P,19
NA,19
PGDX26689P,5
PGDX26911P,19
PGDX26690P,5
PGDX26692P,5
PGDX26693P,5
PGDX26662P,4
PGDX26916P,20
PGDX26647P,3
PGDX26663P,4
PGDX26920P,20
PGDX26648P,3
PGDX26664P,4
PGDX26650P,3
PGDX26666P,4
PGDX26651P,3
PGDX26667P,4
PGDX26925P,20
PGDX26654P,3
PGDX26924P,20
PGDX26923P,20
PGDX26669P,4
PGDX26927P,20
PGDX26670P,4
PGDX26671P,4
PGDX26656P,3
PGDX26935P,21
PGDX26672P,4
PGDX26933P,21
PGDX26929P,21
PGDX26657P,3
PGDX26673P,4
PGDX26944P,21
PGDX26937P,21
PGDX26659P,3
PGDX26938P,21
PGDX26675P,4
PGDX26660P,3
PGDX26941P,21
PGDX26676P,4
PGDX26661P,3
PGDX26677P,4
PGDX26948P,22
PGDX26632P,2
PGDX26615P,1
PGDX26950P,22
PGDX26958P,22
PGDX26946P,22
PGDX26633P,2
PGDX26616P,1
PGDX26957P,22
PGDX26586P1,1
PGDX26618P,1
PGDX26619P,1
PGDX26635P,2
PGDX26961P,23
PGDX26636P,2
PGDX26637P,2
PGDX26621P,1
PGDX26638P,2
PGDX26639P,2
PGDX26641P,2
PGDX26624P1,2
PGDX26624P,1
PGDX26968P,23
PGDX26627P,1
PGDX26644P,2
PGDX26971P,23
PGDX26629P,1
PGDX26973P,23
PGDX26645P,2
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
