"feature","estimate","std.error","statistic","p.value","odds_ratio_sd","conf.low","conf.high","n","display_label","q.value","sig_primary","sig_secondary","sig_flag","yval","cutoff_y_primary","cutoff_y_secondary","cutoff_y","Protein","log10_pvalue","suggested_symbol","Gene","gene_biotype","Gene_core",".match_type"
"clinical_CEA",2.08666701663663,0.468073143177138,4.45799347185992,8.27304209598584e-06,8.05801313348282,3.64634868390884,22.9973970562802,287,"CEA (CEACAM5)",0.000630418314092108,TRUE,FALSE,TRUE,3.20037117877736,1.30102999566398,1,1.30102999566398,"CEA (CEACAM5)",5.08233476583244,"CEACAM5","ENSG00000105388","protein_coding","ENSG00000105388","id"
"olink_MMP12",0.923852771899547,0.212335538666007,4.35090978035815,1.3557383098755e-05,2.51897676114593,1.70030656022964,3.9222951608749,219,"MMP12",0.000630418314092108,TRUE,FALSE,TRUE,3.20037117877736,1.30102999566398,1,1.30102999566398,"MMP12",4.86782413166732,"MMP12","ENSG00000262406","protein_coding","ENSG00000262406","id"
"olink_FASLG",-0.743533026012332,0.195615295084965,-3.80099636733098,0.000144115415151888,0.475431233875972,0.317667647126291,0.686295820750881,219,"FASLG",0.00446757786970852,TRUE,FALSE,TRUE,2.34992786902042,1.30102999566398,1,1.30102999566398,"FASLG",3.84128956285469,"FASLG","ENSG00000117560","protein_coding","ENSG00000117560","id"
"olink_IL12",-0.577604886749574,0.175256145018304,-3.29577537317878,0.000981504589565127,0.561240993792346,0.392008034736469,0.781826475952004,219,"IL12",0.0228199817073892,TRUE,FALSE,TRUE,1.64168470805028,1.30102999566398,1,1.30102999566398,"IL12",3.00810766527625,"IL12A","ENSG00000168811","protein_coding","ENSG00000168811","id"
"olink_PDCD1",-0.5551629025131,0.174975581023461,-3.17280216625577,0.00150975362482093,0.573978750999116,0.401278967239847,0.799086100597236,219,"PDCD1",0.0280814174216692,TRUE,FALSE,TRUE,1.55158097478748,1.30102999566398,1,1.30102999566398,"PDCD1",2.8210939190054,"PDCD1","ENSG00000276977","protein_coding","ENSG00000188389","symbol"
"olink_IL6",0.523924195975575,0.172219166759722,3.04219446553558,0.0023486011082384,1.68864122382609,1.21555546909675,2.39264936527314,219,"IL6",0.0326735244694223,TRUE,FALSE,TRUE,1.48580401596646,1.30102999566398,1,1.30102999566398,"IL6",2.62919073852318,"IL6","ENSG00000136244","protein_coding","ENSG00000136244","id"
"olink_ICOSLG",-0.596365957494509,0.196930613467245,-3.02830498008733,0.0024592975407092,0.550809669176796,0.368123914459318,0.798434954284989,219,"ICOSLG",0.0326735244694223,TRUE,FALSE,TRUE,1.48580401596646,1.30102999566398,1,1.30102999566398,"ICOSLG",2.60918892450614,"ICOSLG","ENSG00000160223","protein_coding","ENSG00000160223","id"
"olink_CD28",-0.52996365065735,0.178779260615114,-2.96434636117153,0.00303326666643921,0.588626365470942,0.40667460753409,0.822621609511214,219,"CD28",0.0352617249973558,TRUE,FALSE,TRUE,1.4526964459077,1.30102999566398,1,1.30102999566398,"CD28",2.51808940746969,"CD28","ENSG00000178562","protein_coding","ENSG00000178562","id"
"olink_CRTAM",-0.489437265546472,0.170559452485368,-2.86959918324351,0.00410992412730775,0.612971237181982,0.433285896675916,0.848074768130312,219,"CRTAM",0.04246921598218,TRUE,FALSE,TRUE,1.37192575638054,1.30102999566398,1,1.30102999566398,"CRTAM",2.38616619549515,"CRTAM","ENSG00000109943","protein_coding","ENSG00000109943","id"
"olink_GZMA",-0.441902610175581,0.163574653516726,-2.70153474682674,0.00690202680798979,0.642812235777941,0.461471877885955,0.878865102768868,219,"GZMA",0.064188849314305,FALSE,TRUE,TRUE,1.19254040965498,1.30102999566398,1,1.30102999566398,"GZMA",2.16102335820892,"GZMA","ENSG00000145649","protein_coding","ENSG00000145649","id"
"olink_GZMH",-0.446204847046444,0.170964229441219,-2.60993102770576,0.00905604794781062,0.640052645737638,0.452392891589368,0.887015376569974,219,"GZMH",0.0718129311933389,FALSE,TRUE,TRUE,1.14379734628339,1.30102999566398,1,1.30102999566398,"GZMH",2.0430612867505,"GZMH","ENSG00000100450","protein_coding","ENSG00000100450","id"
"olink_IL12RB1",-0.430445236501454,0.165423900704705,-2.60207403324284,0.00926618467010825,0.650219528797261,0.463432012192508,0.890356361012499,219,"IL12RB1",0.0718129311933389,FALSE,TRUE,TRUE,1.14379734628339,1.30102999566398,1,1.30102999566398,"IL12RB1",2.0330990487897,"IL12RB1","ENSG00000096996","protein_coding","ENSG00000096996","id"
"olink_CD244",-0.425149932319851,0.167277160406604,-2.5415898457771,0.0110349581008236,0.653671771257222,0.46488655630342,0.898753535277549,219,"CD244",0.0789423925674303,FALSE,TRUE,TRUE,1.10268971524623,1.30102999566398,1,1.30102999566398,"CD244",1.95722931149332,"CD244","ENSG00000122223","protein_coding","ENSG00000122223","id"
"olink_CCL23",0.389014217917272,0.167768648714054,2.31875395611197,0.0204083810818692,1.47552553008384,1.07003497609453,2.07280838144586,219,"CCL23",0.116773012343856,FALSE,FALSE,FALSE,0.932657516336837,1.30102999566398,1,1.30102999566398,"CCL23",1.69019144482321,"CCL23","ENSG00000276114","protein_coding","ENSG00000274736","symbol"
"olink_NOS3",0.358064077527488,0.154445950421137,2.31837789564008,0.0204287922999734,1.43055728411677,1.06022505130336,1.94956114086853,219,"NOS3",0.116773012343856,FALSE,FALSE,FALSE,0.932657516336837,1.30102999566398,1,1.30102999566398,"NOS3",1.6897573070318,"NOS3","ENSG00000164867","protein_coding","ENSG00000164867","id"
"olink_CD83",-0.382945720646192,0.165246447490267,-2.31742180520249,0.0204807656695658,0.681849908653995,0.487467725645973,0.935096054410154,219,"CD83",0.116773012343856,FALSE,FALSE,FALSE,0.932657516336837,1.30102999566398,1,1.30102999566398,"CD83",1.68865381137533,"CD83","ENSG00000112149","protein_coding","ENSG00000112149","id"
"olink_DCN",-0.408931719282787,0.177656201838522,-2.30181505092898,0.0213456044069413,0.664359593723092,0.463758162342145,0.93408775118296,219,"DCN",0.116773012343856,FALSE,FALSE,FALSE,0.932657516336837,1.30102999566398,1,1.30102999566398,"DCN",1.6706915435125,"DCN","ENSG00000011465","protein_coding","ENSG00000011465","id"
"olink_TRAIL",-0.373788232120388,0.164741853997996,-2.26893301883645,0.0232723994221117,0.688122618668289,0.494517266359596,0.945838915587333,219,"TRAIL",0.120240730347577,FALSE,FALSE,FALSE,0.919948394489017,1.30102999566398,1,1.30102999566398,"TRAIL",1.63315883793965,"TNFSF10","ENSG00000121858","protein_coding","ENSG00000121858","id"
"olink_IL10",0.362316259984625,0.163519915375899,2.21573169941859,0.0267098825612817,1.43665322604781,1.05311119960267,2.00538883146274,219,"IL10",0.127943947648336,FALSE,FALSE,FALSE,0.892980253466516,1.30102999566398,1,1.30102999566398,"IL10",1.5733280214919,"IL10","ENSG00000136634","protein_coding","ENSG00000136634","id"
"olink_CD5",-0.357583238632725,0.163322194853557,-2.18943444247337,0.0285652785762446,0.69936448237654,0.503122880262351,0.957362080237799,219,"CD5",0.127943947648336,FALSE,FALSE,FALSE,0.892980253466516,1.30102999566398,1,1.30102999566398,"CD5",1.54416153622672,"CD5","ENSG00000110448","protein_coding","ENSG00000110448","id"
"olink_GZMB",-0.37437180284888,0.17139990376168,-2.18420077627009,0.0289474979199446,0.68772116759936,0.485988720556516,0.954159654814255,219,"GZMB",0.127943947648336,FALSE,FALSE,FALSE,0.892980253466516,1.30102999566398,1,1.30102999566398,"GZMB",1.53838896860397,"GZMB","ENSG00000100453","protein_coding","ENSG00000100453","id"
