"","zscore_1p","zscore_1q","zscore_2p","zscore_2q","zscore_3p","zscore_3q","zscore_4p","zscore_4q","zscore_5p","zscore_5q","zscore_6p","zscore_6q","zscore_7p","zscore_7q","zscore_8p","zscore_8q","zscore_9p","zscore_9q","zscore_10p","zscore_10q","zscore_11p","zscore_11q","zscore_12p","zscore_12q","zscore_13q","zscore_14q","zscore_15q","zscore_16p","zscore_16q","zscore_17p","zscore_17q","zscore_18p","zscore_18q","zscore_19p","zscore_19q","zscore_20p","zscore_20q","zscore_21q","zscore_22q"
"GEMINI_score",-0.0117032317548881,0.198537429261705,-0.0398781040393794,-0.101103962702237,-0.337354362513708,0.274876209790655,-0.164244123604791,-0.235616833784716,0.326150398259821,-0.264310503543168,0.230111333244919,0.173818545408457,0.22430957781529,0.146448344098014,-0.126010048712054,0.240589228794458,0.113622286971489,0.184567337924422,-0.0374486172428311,-0.317334110395829,-0.0932815045800983,0.0736965657282627,0.19057236525567,0.269705344888085,-0.0962949542215862,0.198152927005109,-0.226746637173412,-0.0621357454031944,-0.237853977006898,-0.227945871161014,0.213786083109675,0.167950147324074,0.194352377973445,0.0862760977209922,0.243141001766946,0.0963608243001051,0.240181798335401,-0.0267589051260587,-0.254531945736226
"olink_CEA",-0.133764355689965,0.0899330040707302,-0.194967769706286,-0.0567888068483791,-0.431750122343065,0.140577833038863,-0.0770420787354408,-0.123237159318388,0.501385614646704,-0.291754788730635,0.360476528465187,0.296973671381034,0.375504876361686,0.259459108322757,-0.149695560511193,0.169593896845302,0.180988841908675,0.302944434045457,0.0174197275987625,-0.427701834534177,-0.104924717747009,0.0342646643885447,0.12715009803241,0.214155152943734,0.0966500504962929,0.398345055148578,-0.376002023891123,-0.132774151605637,-0.274329929593009,-0.108527170533516,0.393697665540349,0.0390064132254884,0.0948364978989484,0.0360949477603273,0.219038659278859,-0.000561248225621378,0.256646029819962,-0.302797841279031,-0.317837840699608
"olink_MMP12",-0.0465520149518845,0.339630633528661,-0.244087262528385,-0.070609710166289,-0.434834930277977,0.344768586659669,-0.184543397259631,-0.198701030482753,0.505619507565834,-0.354604381859497,0.484210557091283,0.406021986835345,0.327417875362441,0.323947013927825,-0.182948924592074,0.315698770138345,0.182214232762351,0.280044603296653,-0.0283737716734743,-0.453208548038645,-0.193278665398217,0.00386157367397457,0.355137804895831,0.406488978025135,-0.0991118257432662,0.315076157407386,-0.359194300122482,-0.104354309209654,-0.348373013566597,-0.234685032561391,0.361432786142265,0.244569127507231,0.260607371437008,0.124200871127106,0.411810809473883,0.104115202245963,0.341806251284652,-0.0552403635977198,-0.351149030635968
"olink_CD4",-0.043226665764451,0.071147477642839,-0.103539720593713,0.0377436428909383,-0.138794651002534,0.0964671120130465,0.0263617401681645,0.0390230961772895,0.235374647423125,-0.129581477629973,0.143470614339657,0.193642182141215,0.144561465017937,0.0752737506425315,-0.117556104075031,0.101852659920663,-0.0386482614130556,0.0961758613552758,-0.0974350563102689,-0.177678591466031,-0.195063731606577,-0.0432278932281343,0.0279401488660133,0.125183711577729,0.0737774103478389,0.192467119491131,-0.0766802860096402,0.0628408202104546,-0.00164619168809153,0.0149921473086126,0.0883526758712465,0.141514184580861,0.104352294783539,-0.00702273189242482,0.112150126534352,0.0580417371499664,0.0593615471305886,-0.137498998057063,-0.0552923516648135
"olink_CD5",-0.0706653118795858,0.0183980463564787,-0.0880778384250137,0.0884005059353265,-0.0630526906739641,-0.0025047020347521,0.0994199664547642,0.112639831304829,0.120253829902161,-0.0906722965765704,0.0646594822312102,0.17250685980144,0.0795476879851061,0.0534558496575067,-0.00641882506661347,0.0416809910981163,-0.0882662325426883,0.0987335724002102,-0.0166236753452782,-0.0754486060636527,-0.111859751758223,-0.127196501069757,-0.077705304782139,0.0221267791814294,0.0185851021006297,0.148959465914375,-0.0280116043421378,0.0670391718873434,0.0433762826614851,0.113870161747286,0.0669975765408355,0.121548276692513,0.115879839578046,0.0380944449159658,0.0184943020627925,0.0860740108048011,-0.0763145565505255,-0.0629860265763776,0.00529769583876191
"olink_CD8A",-0.0507579202577038,0.040322646320937,0.00404723052098838,0.115794159227532,-0.0749363179355149,-0.00424772997562785,0.0756810110252743,0.103327484067832,0.0899766893209732,-0.0539961447862529,0.0735740952025887,0.105319964137613,0.147225116446029,0.109561322256892,-0.130886880554025,0.0214789636288779,-0.0391728325542682,0.134605869921226,0.0731351088151805,-0.0735515961298997,-0.120048704477295,-0.115358958123104,-0.0566734586786112,-0.02201330741459,0.089348639549796,0.109513123393704,-0.0201464621139765,0.0408735010532231,0.0447658245136251,0.109935698927115,0.0840970023871025,-0.00594003259662125,0.0123925046490274,0.077408453633127,0.0171331901751572,0.0621657357040123,-0.0416353394307147,-0.0779689314583647,0.0250880777927463
"olink_CD27",-0.0631519418308969,0.0385203837088237,-0.0987465903567407,0.0548481863988059,-0.0536641933017982,0.0748318543558323,0.0547413437033131,0.0638117272216806,0.148383384942936,-0.0655404466695993,0.112944325946671,0.20349369863636,0.0372978605914312,0.0191237289079946,-0.0276482290302628,0.0738686903778913,-0.0565053915100869,0.0409816883266253,-0.0880874634971072,-0.0602473132943244,-0.112853789263707,-0.084351403669318,-0.0292947147802903,0.0599319751691849,-0.00215226694662977,0.127572864291086,-0.00983490024373472,0.0645802156253674,0.0113915293146928,0.06449572924176,0.0853861422318353,0.110437419936763,0.0625593387677439,-7.00131968036692e-05,0.0557316196547494,0.0467272144417636,0.0185841080797048,-0.020804304908908,-0.0150506272482121
"olink_CD28",0.0348575901553911,0.0158716449097705,0.0264846251967878,0.169425816248389,-0.0212006646544558,0.0321571082844026,0.130113518816817,0.0975220265902682,0.0469421197730453,-0.0578457870397962,-0.0272680191190101,0.113606860032874,-0.000685365535941383,-0.00624290556229826,-0.0204310646371607,0.0120267354747377,-0.100074040531077,0.0400528615994168,-0.0179956259268388,-0.0246016673260244,-0.111482133498281,-0.0478097103408826,-0.0647685959373522,-0.0966676966988826,-0.00104758995631618,0.0536340406214532,-0.0171979132945242,0.106365665281531,0.0548542762498806,0.0542305240252097,-0.035570852667024,0.11920013137875,0.0329212032615347,0.0389196760975749,-0.0181731384168815,0.182510728430681,-0.0678872739578347,0.0162837997689874,0.0157726716104816
"olink_CRTAM",0.101876577317561,0.00526975574331607,0.0424187801770447,0.0910346474452039,-0.0203407613619562,0.0508340673660249,0.131856564469838,0.105239635844043,0.0266661394795115,-0.0187567321657055,-0.0297321834990416,0.0792588208788701,-0.0410476912131744,-0.0484417681439224,-0.0469169333722941,0.0330164895897638,-0.0541725093208978,0.00424094765514045,-0.0720271792498307,-0.0243058794792531,-0.107345763839896,-0.100018101527548,-0.104061846081074,-0.053325196877881,0.0512960265985654,0.0505261798950831,0.0666351323621944,0.147087957126294,0.0881461432260176,0.108931690519366,-0.0426794576704142,0.0523615764782009,0.0360617567046398,0.0374247666643166,0.0259667308878318,0.134076084805626,-0.0663875271894344,0.0621894922715,0.0853250168460243
"olink_CD40",-0.095048256854138,0.0312416895112569,-0.0869405087150067,-0.0050910310135249,-0.0486076566873385,0.0456644803867947,0.0139167384212761,0.016705217020834,0.0919515418224293,-0.0522275191711935,0.0595925831218856,0.135411226710091,0.0837667493833606,0.0292063363325052,-0.0311246470547231,0.118843932446665,-0.0651369513125679,-0.0287902311420831,-0.0203635698706824,-0.0262806208824109,-0.137540693536279,-0.061525080482395,0.00550167068306012,0.0841212610429114,-0.0283335624118518,0.0920797497442603,0.00443784014700118,0.0469628977758647,-0.00446358120222301,0.0342015811471574,0.0161173059878972,0.0983481566956316,0.0449361600681545,-0.033650709955546,0.0269088339906866,-0.0246224662524351,-0.0300847302730819,0.00576563530498957,-0.0221604372991319
