Gene	ENSG ID	Disease	Class	Control	logFC	p-value adjusted
AARSD1	ENSG00000266967	Schizophrenia	Psychiatric	All other diseases	0.020	8.83E-1
AARSD1	ENSG00000266967	Schizophrenia	Psychiatric	Class	-0.018	9.78E-1
AARSD1	ENSG00000266967	Schizophrenia	Psychiatric	Healthy	0.530	3.18E-6
AARSD1	ENSG00000266967	Pediatric systemic inflammatory disease	Pediatric	All other diseases	-2.139	1.16E-27
AARSD1	ENSG00000266967	Pediatric systemic inflammatory disease	Pediatric	Class	-2.849	3.43E-19
AARSD1	ENSG00000266967	Pediatric systemic inflammatory disease	Pediatric	Healthy	-1.558	7.83E-9
AARSD1	ENSG00000266967	Pediatric lymphoma	Pediatric	All other diseases	0.460	5.60E-1
AARSD1	ENSG00000266967	Pediatric lymphoma	Pediatric	Class	0.656	5.73E-1
AARSD1	ENSG00000266967	Pediatric lymphoma	Pediatric	Healthy	0.762	1.86E-1
AARSD1	ENSG00000266967	Pediatric sarcoma	Pediatric	All other diseases	0.715	2.87E-1
AARSD1	ENSG00000266967	Pediatric sarcoma	Pediatric	Class	0.497	8.31E-1
AARSD1	ENSG00000266967	Pediatric sarcoma	Pediatric	Healthy	0.619	2.35E-1
AARSD1	ENSG00000266967	Bipolar disorder	Psychiatric	All other diseases	0.001	9.94E-1
AARSD1	ENSG00000266967	Bipolar disorder	Psychiatric	Class	0.035	9.79E-1
AARSD1	ENSG00000266967	Bipolar disorder	Psychiatric	Healthy	0.265	3.17E-1
AARSD1	ENSG00000266967	Pediatric neuroblastoma	Pediatric	All other diseases	1.230	9.41E-4
AARSD1	ENSG00000266967	Pediatric neuroblastoma	Pediatric	Class	0.890	2.00E-1
AARSD1	ENSG00000266967	Pediatric neuroblastoma	Pediatric	Healthy	2.063	3.13E-3
AARSD1	ENSG00000266967	Pediatric retinoblastoma	Pediatric	All other diseases	0.475	4.64E-1
AARSD1	ENSG00000266967	Pediatric retinoblastoma	Pediatric	Class	-0.205	8.52E-1
AARSD1	ENSG00000266967	Pediatric retinoblastoma	Pediatric	Healthy	1.283	6.66E-3
AARSD1	ENSG00000266967	Pediatric long COVID	Pediatric	All other diseases	0.224	5.82E-1
AARSD1	ENSG00000266967	Pediatric long COVID	Pediatric	Class	-0.026	9.68E-1
AARSD1	ENSG00000266967	Pediatric long COVID	Pediatric	Healthy	1.260	4.14E-2
AARSD1	ENSG00000266967	Pediatric CNS tumor	Pediatric	All other diseases	1.464	1.30E-4
AARSD1	ENSG00000266967	Pediatric CNS tumor	Pediatric	Class	1.334	5.12E-2
AARSD1	ENSG00000266967	Pediatric CNS tumor	Pediatric	Healthy	2.208	4.40E-5
AARSD1	ENSG00000266967	Type 2 diabetes	Metabolic	All other diseases	-0.288	4.14E-2
AARSD1	ENSG00000266967	Type 2 diabetes	Metabolic	Class	-0.306	1.77E-2
AARSD1	ENSG00000266967	Type 2 diabetes	Metabolic	Healthy	0.173	5.18E-2
AARSD1	ENSG00000266967	Pediatric bone tumor	Pediatric	All other diseases	-0.077	9.50E-1
AARSD1	ENSG00000266967	Pediatric bone tumor	Pediatric	Class	-0.111	9.44E-1
AARSD1	ENSG00000266967	Pediatric bone tumor	Pediatric	Healthy	0.356	4.44E-1
AARSD1	ENSG00000266967	Pediatric kidney tumor	Pediatric	All other diseases	0.974	7.06E-2
AARSD1	ENSG00000266967	Pediatric kidney tumor	Pediatric	Class	0.622	6.19E-1
AARSD1	ENSG00000266967	Pediatric kidney tumor	Pediatric	Healthy	1.424	7.36E-3
