specificity,stratum,DELFI,Proteomics,DELFI-Pro,vsDELFI_p_nom,vsDELFI_p_fdr,vsProt_p_nom,vsProt_p_fdr
0.5,Overall,0.97 (0.89-0.99) [58/60],0.90 (0.80-0.95) [54/60],0.98 (0.91-1.00) [59/60],1.000,1.000,0.125,0.250
0.5,Adenocarcinoma,0.97 (0.85-0.99) [33/34],0.88 (0.73-0.95) [30/34],0.97 (0.85-0.99) [33/34],1.000,1.000,0.375,1.000
0.5,Squamous,1.00 (0.82-1.00) [18/18],0.89 (0.67-0.97) [16/18],1.00 (0.82-1.00) [18/18],—,—,0.500,1.000
0.5,SCLC,0.80 (0.38-0.96) [4/5],1.00 (0.57-1.00) [5/5],1.00 (0.57-1.00) [5/5],1.000,1.000,—,—
0.6,Overall,0.88 (0.78-0.94) [53/60],0.82 (0.70-0.89) [49/60],0.93 (0.84-0.97) [56/60],0.453,0.453,0.039,0.078
0.6,Adenocarcinoma,0.82 (0.66-0.92) [28/34],0.82 (0.66-0.92) [28/34],0.94 (0.81-0.98) [32/34],0.125,0.417,0.219,0.417
0.6,Squamous,1.00 (0.82-1.00) [18/18],0.78 (0.55-0.91) [14/18],0.94 (0.74-0.99) [17/18],1.000,1.000,0.250,0.417
0.6,SCLC,0.80 (0.38-0.96) [4/5],1.00 (0.57-1.00) [5/5],1.00 (0.57-1.00) [5/5],1.000,1.000,—,—
0.7,Overall,0.78 (0.66-0.87) [47/60],0.73 (0.61-0.83) [44/60],0.88 (0.78-0.94) [53/60],0.146,0.146,0.022,0.045
0.7,Adenocarcinoma,0.71 (0.54-0.83) [24/34],0.74 (0.57-0.85) [25/34],0.91 (0.77-0.97) [31/34],0.016,0.078,0.070,0.176
0.7,Squamous,0.89 (0.67-0.97) [16/18],0.67 (0.44-0.84) [12/18],0.89 (0.67-0.97) [16/18],1.000,1.000,0.125,0.208
0.7,SCLC,0.80 (0.38-0.96) [4/5],1.00 (0.57-1.00) [5/5],0.80 (0.38-0.96) [4/5],—,—,1.000,1.000
0.8,Overall,0.70 (0.57-0.80) [42/60],0.72 (0.59-0.81) [43/60],0.82 (0.70-0.89) [49/60],0.065,0.131,0.180,0.180
0.8,Adenocarcinoma,0.62 (0.45-0.76) [21/34],0.74 (0.57-0.85) [25/34],0.82 (0.66-0.92) [28/34],0.039,0.195,0.453,0.755
0.8,Squamous,0.83 (0.61-0.94) [15/18],0.61 (0.39-0.80) [11/18],0.83 (0.61-0.94) [15/18],1.000,1.000,0.219,0.547
0.8,SCLC,0.80 (0.38-0.96) [4/5],1.00 (0.57-1.00) [5/5],0.80 (0.38-0.96) [4/5],—,—,1.000,1.000
0.9,Overall,0.60 (0.47-0.71) [36/60],0.72 (0.59-0.81) [43/60],0.75 (0.63-0.84) [45/60],0.035,0.070,0.774,0.774
0.9,Adenocarcinoma,0.53 (0.37-0.69) [18/34],0.74 (0.57-0.85) [25/34],0.76 (0.60-0.88) [26/34],0.021,0.107,1.000,1.000
0.9,Squamous,0.67 (0.44-0.84) [12/18],0.61 (0.39-0.80) [11/18],0.72 (0.49-0.88) [13/18],1.000,1.000,0.625,1.000
0.9,SCLC,0.80 (0.38-0.96) [4/5],1.00 (0.57-1.00) [5/5],0.80 (0.38-0.96) [4/5],—,—,1.000,1.000
0.95,Overall,0.58 (0.46-0.70) [35/60],0.63 (0.51-0.74) [38/60],0.73 (0.61-0.83) [44/60],0.035,0.070,0.109,0.109
0.95,Adenocarcinoma,0.50 (0.34-0.66) [17/34],0.68 (0.51-0.81) [23/34],0.76 (0.60-0.88) [26/34],0.012,0.047,0.453,0.604
0.95,Squamous,0.67 (0.44-0.84) [12/18],0.50 (0.29-0.71) [9/18],0.67 (0.44-0.84) [12/18],1.000,1.000,0.250,0.500
0.95,SCLC,0.80 (0.38-0.96) [4/5],0.80 (0.38-0.96) [4/5],0.80 (0.38-0.96) [4/5],—,—,—,—
