specificity,stratum,DELFI,Proteomics,DELFI-Pro,vsDELFI_p_nom,vsDELFI_p_fdr,vsProt_p_nom,vsProt_p_fdr
0.5,Overall,0.97 (0.89-0.99) [58/60],0.90 (0.80-0.95) [54/60],0.98 (0.91-1.00) [59/60],1.000,1.000,0.125,0.250
0.5,I,0.89 (0.57-0.98) [8/9],0.67 (0.35-0.88) [6/9],1.00 (0.70-1.00) [9/9],1.000,1.000,0.250,1.000
0.5,II,1.00 (0.51-1.00) [4/4],0.75 (0.30-0.95) [3/4],1.00 (0.51-1.00) [4/4],—,—,—,—
0.5,III,1.00 (0.82-1.00) [18/18],0.94 (0.74-0.99) [17/18],1.00 (0.82-1.00) [18/18],—,—,1.000,1.000
0.5,IV,0.97 (0.83-0.99) [28/29],0.97 (0.83-0.99) [28/29],0.97 (0.83-0.99) [28/29],1.000,1.000,1.000,1.000
0.6,Overall,0.88 (0.78-0.94) [53/60],0.82 (0.70-0.89) [49/60],0.93 (0.84-0.97) [56/60],0.453,0.453,0.039,0.078
0.6,I,0.78 (0.45-0.94) [7/9],0.22 (0.06-0.55) [2/9],0.78 (0.45-0.94) [7/9],1.000,1.000,0.062,0.312
0.6,II,0.75 (0.30-0.95) [3/4],0.75 (0.30-0.95) [3/4],1.00 (0.51-1.00) [4/4],—,—,—,—
0.6,III,0.89 (0.67-0.97) [16/18],0.94 (0.74-0.99) [17/18],0.94 (0.74-0.99) [17/18],1.000,1.000,—,—
0.6,IV,0.93 (0.78-0.98) [27/29],0.93 (0.78-0.98) [27/29],0.97 (0.83-0.99) [28/29],1.000,1.000,1.000,1.000
0.7,Overall,0.78 (0.66-0.87) [47/60],0.73 (0.61-0.83) [44/60],0.88 (0.78-0.94) [53/60],0.146,0.146,0.022,0.045
0.7,I,0.67 (0.35-0.88) [6/9],0.22 (0.06-0.55) [2/9],0.44 (0.19-0.73) [4/9],0.500,0.625,0.625,0.625
0.7,II,0.50 (0.15-0.85) [2/4],0.75 (0.30-0.95) [3/4],1.00 (0.51-1.00) [4/4],—,—,—,—
0.7,III,0.83 (0.61-0.94) [15/18],0.83 (0.61-0.94) [15/18],0.94 (0.74-0.99) [17/18],0.625,0.625,0.500,0.625
0.7,IV,0.83 (0.65-0.92) [24/29],0.83 (0.65-0.92) [24/29],0.97 (0.83-0.99) [28/29],0.125,0.625,0.219,0.625
0.8,Overall,0.70 (0.57-0.80) [42/60],0.72 (0.59-0.81) [43/60],0.82 (0.70-0.89) [49/60],0.065,0.131,0.180,0.180
0.8,I,0.22 (0.06-0.55) [2/9],0.22 (0.06-0.55) [2/9],0.33 (0.12-0.65) [3/9],1.000,1.000,1.000,1.000
0.8,II,0.50 (0.15-0.85) [2/4],0.75 (0.30-0.95) [3/4],1.00 (0.51-1.00) [4/4],—,—,—,—
0.8,III,0.83 (0.61-0.94) [15/18],0.78 (0.55-0.91) [14/18],0.94 (0.74-0.99) [17/18],0.625,1.000,0.250,1.000
0.8,IV,0.79 (0.62-0.90) [23/29],0.83 (0.65-0.92) [24/29],0.86 (0.69-0.95) [25/29],0.625,1.000,1.000,1.000
0.9,Overall,0.60 (0.47-0.71) [36/60],0.72 (0.59-0.81) [43/60],0.75 (0.63-0.84) [45/60],0.035,0.070,0.774,0.774
0.9,I,0.11 (0.02-0.43) [1/9],0.22 (0.06-0.55) [2/9],0.33 (0.12-0.65) [3/9],0.500,0.938,1.000,1.000
0.9,II,0.50 (0.15-0.85) [2/4],0.75 (0.30-0.95) [3/4],0.75 (0.30-0.95) [3/4],—,—,—,—
0.9,III,0.67 (0.44-0.84) [12/18],0.78 (0.55-0.91) [14/18],0.89 (0.67-0.97) [16/18],0.219,0.938,0.500,0.938
0.9,IV,0.72 (0.54-0.85) [21/29],0.83 (0.65-0.92) [24/29],0.79 (0.62-0.90) [23/29],0.625,0.938,1.000,1.000
0.95,Overall,0.58 (0.46-0.70) [35/60],0.63 (0.51-0.74) [38/60],0.73 (0.61-0.83) [44/60],0.035,0.070,0.109,0.109
0.95,I,0.00 (0.00-0.30) [0/9],0.00 (0.00-0.30) [0/9],0.22 (0.06-0.55) [2/9],0.500,0.750,0.500,0.750
0.95,II,0.50 (0.15-0.85) [2/4],0.75 (0.30-0.95) [3/4],0.75 (0.30-0.95) [3/4],—,—,—,—
0.95,III,0.67 (0.44-0.84) [12/18],0.72 (0.49-0.88) [13/18],0.89 (0.67-0.97) [16/18],0.219,0.750,0.250,0.750
0.95,IV,0.72 (0.54-0.85) [21/29],0.76 (0.58-0.88) [22/29],0.79 (0.62-0.90) [23/29],0.625,0.750,1.000,1.000
