"package","version","source"
"biomaRt","2.62.0","Bioconductor"
"Biostrings","2.74.0","Bioconductor"
"broom","1.0.7","CRAN"
"BSgenome.Hsapiens.UCSC.hg19","1.4.3","Bioconductor"
"caret","6.0.94","CRAN"
"circlize","0.4.16","CRAN"
"clusterProfiler","4.14.0","Bioconductor"
"colorspace","2.1.1","CRAN"
"ComplexHeatmap","2.22.0","Bioconductor"
"ComplexUpset","1.3.3","CRAN"
"compositions","2.0.9","CRAN"
"cowplot","1.2.0","CRAN"
"data.table","1.16.4","CRAN"
"devtools","2.4.5","CRAN"
"dorothea","1.18.0","Bioconductor"
"dplyr","1.1.4","CRAN"
"enrichplot","1.26.1","Bioconductor"
"FSelectorRcpp","0.3.13","CRAN"
"GenomeInfoDb","1.42.0","Bioconductor"
"GenomicRanges","1.58.0","Bioconductor"
"ggnewscale","0.5.2","CRAN"
"ggplot2","3.5.2","CRAN"
"ggpubr","0.6.1","CRAN"
"ggrepel","0.9.6","CRAN"
"ggsci","3.2.0","CRAN"
"ggsignif","0.6.4","CRAN"
"glmnet","4.1.8","CRAN"
"gridExtra","2.3","CRAN"
"here","1.0.1","CRAN"
"HGNChelper","0.8.15","CRAN"
"IRanges","2.40.0","Bioconductor"
"lemon","0.5.1","CRAN"
"magrittr","2.0.3","CRAN"
"org.Hs.eg.db","3.20.0","Bioconductor"
"patchwork","1.3.2","CRAN"
"pheatmap","1.0.13","CRAN"
"plyr","1.8.9","CRAN"
"ppcor","1.1","CRAN"
"preprocessCore","1.68.0","Bioconductor"
"pROC","1.19.0.1","CRAN"
"RColorBrewer","1.1.3","CRAN"
"readr","2.1.5","CRAN"
"readxl","1.4.3","CRAN"
"recipes","1.3.1","CRAN"
"reshape2","1.4.4","CRAN"
"reticulate","1.40.0","CRAN"
"rlucas","0.0.3","GitHub"
"rtracklayer","1.66.0","Bioconductor"
"scales","1.3.0","CRAN"
"stringr","1.5.1","CRAN"
"SummarizedExperiment","1.36.0","Bioconductor"
"tidyr","1.3.1","CRAN"
"tidyverse","2.0.0","CRAN"
"zoo","1.8.12","CRAN"
