locus	cpg_label	gc_background	gc_peaks	gc_diff
chr20:34893531-34898532	Upstream Island	0.00138	0.653	474
chr13:88322427-88327428	Upstream Island	0.463	0.667	1.44
chr6:72594618-72599619	Upstream Island	0.449	0.64	1.43
chr1:159139483-159144484	Upstream Island	0.463	0.547	1.18
chr19:38698928-38703929	Upstream Island	0.586	0.707	1.21
chr3:26662827-26667828	Upstream Island	0.497	0.613	1.24
chr14:27064467-27069468	Upstream Island	0.392	0.673	1.72
chr1:214159333-214164334	Upstream Island	0.471	0.507	1.08
chr2:43326384-43331385	Upstream Island	0.438	0.547	1.25
chr20:10196942-10201943	Upstream Island	0.377	0.647	1.71
chr14:89289574-89294575	Upstream Island	0.348	0.447	1.28
chr2:124781232-124786233	Upstream Island	0.318	0.58	1.82
chr6:123315930-123320931	Upstream Island	0.339	0.513	1.52
chr8:50820996-50825997	Upstream Island	0.353	0.633	1.79
chr18:24441237-24446238	Upstream Island	0.413	0.553	1.34
chr3:181437625-181442626	Upstream Island	0.478	0.527	1.1
chr11:61736115-61741116	Upstream Island	0.498	0.467	0.937
chr4:185396058-185401059	Upstream Island	0.429	0.467	1.09
chr8:67417562-67422563	Upstream Island	0.447	0.52	1.16
chr5:87436343-87441344	Upstream Island	0.468	0.44	0.941
chr10:48354998-48359999	Upstream Island	0.539	0.527	0.978
chr17:19628363-19633364	Upstream Island	0.535	0.453	0.847
chr9:35658813-35663814	Upstream Island	0.524	0.5	0.954
chr5:148960631-148965632	Upstream Island	0.407	0.44	1.08
chr6:136681661-136686662	Upstream Island	0.449	0.387	0.861
chr4:189579548-189584549	Upstream Island	0.427	0.553	1.3
chr7:2194978-2199979	Upstream Island	0.5	0.48	0.96
chr8:67416865-67421866	Upstream Island	0.494	0.48	0.971
chr16:89438455-89443456	Upstream Island	0.466	0.607	1.3
chr8:114445229-114450230	Upstream Island	0.461	0.573	1.24
chr3:188663331-188668332	Upstream Island	0.452	0.633	1.4
chr13:95357864-95362865	Upstream Island	0.337	0.627	1.86
chr8:114443910-114448911	Upstream Island	0.468	0.493	1.05
chr2:224904521-224909522	Upstream Island	0.447	0.433	0.97
chr11:133993750-133998751	Upstream Island	0.437	0.5	1.15
chr1:45964344-45969345	Upstream Island	0.475	0.48	1.01
chr1:177139158-177144159	Upstream Island	0.43	0.533	1.24
chr20:19954193-19959194	Upstream Island	0.448	0.52	1.16
chr2:145275575-145280576	Upstream Island	0.418	0.56	1.34
chr3:181414101-181419102	Upstream Island	0.414	0.507	1.22
chr2:20648159-20653160	Upstream Island	0.483	0.527	1.09
chr8:114443323-114448324	Upstream Island	0.506	0.647	1.28
chr15:71146780-71151781	Upstream Island	0.511	0.513	1
chr6:101845086-101850087	Upstream Island	0.494	0.687	1.39
chr1:177138109-177143110	Upstream Island	0.464	0.64	1.38
chr11:943782-948783	Upstream Island	0.411	0.56	1.36
chr13:84452162-84457163	Upstream Island	0.443	0.553	1.25
chr3:160474429-160479430	Upstream Island	0.37	0.353	0.956
chr6:127837535-127842536	Upstream Island	0.306	0.6	1.96
chr8:48100882-48105883	Upstream Island	0.35	0.48	1.37
chr5:173314934-173319935	Upstream Island	0.319	0.567	1.78
chr13:84453716-84458717	Upstream Island	0.386	0.627	1.62
chr1:72748415-72753416	Upstream Island	0.366	0.513	1.4
chr8:65290759-65295760	Upstream Island	0.352	0.667	1.89
chr20:19955392-19960393	Upstream Island	0.394	0.607	1.54
chr9:97767492-97772493	Upstream Island	0.305	0.453	1.49
chr1:149982308-149987309	Upstream Island	0.357	0.573	1.61
chr1:89990500-89995501	Upstream Island	0.364	0.48	1.32
chr21:22370440-22375441	Upstream Island	0.358	0.42	1.17
chr4:134073486-134078487	Upstream Island	0.362	0.393	1.09
chr18:63418461-63423462	Upstream Island	0.35	0.513	1.47
chr4:158143846-158148847	Upstream Island	0.301	0.393	1.31
chr5:67584533-67589534	Upstream Island	0.349	0.393	1.13
chr7:8009375-8014376	Upstream Island	0.301	0.493	1.64
chr3:35681305-35686306	Upstream Island	0.332	0.44	1.33
chrX:92926706-92931707	Upstream Island	0.292	0.427	1.46
chr8:116659569-116664570	Upstream Island	0.417	0.487	1.17
chr6:69345650-69350651	Upstream Island	0.466	0.313	0.672
chr5:132113281-132118282	Upstream Island	0.417	0.46	1.1
chr5:87956799-87961800	Upstream Island	0.377	0.333	0.885
chr6:99283613-99288614	Upstream Island	0.392	0.5	1.27
chr5:87957344-87962345	Upstream Island	0.396	0.447	1.13
chr13:46961728-46966729	Upstream Island	0.446	0.547	1.23
chr3:187462121-187467122	Upstream Island	0.421	0.513	1.22
chr1:87598734-87603735	Upstream Island	0.424	0.547	1.29
chr17:76035282-76040283	Upstream Island	0.384	0.447	1.16
chr1:217261341-217266342	Upstream Island	0.406	0.54	1.33
chr11:133993082-133998083	Upstream Island	0.419	0.52	1.24
chr18:59001783-59006784	Upstream Island	0.315	0.387	1.23
chr10:64134521-64139522	Upstream Island	0.407	0.467	1.15
chr3:112051291-112056292	Upstream Island	0.422	0.407	0.964
chr7:104942070-104947071	Upstream Island	0.394	0.38	0.965
chr8:80676293-80681294	Upstream Island	0.732	0.553	0.756
chr4:158139834-158144835	Upstream Island	0.503	0.327	0.649
chr3:173111592-173116593	Upstream Island	0.543	0.44	0.811
chr2:66662497-66667498	Upstream Island	0.527	0.567	1.08
chr2:242498931-242503932	Upstream Island	0.648	0.713	1.1
chr19:1469103-1474104	Upstream Island	0.629	0.62	0.986
chr14:105940111-105945112	Upstream Island	0.703	0.653	0.929
chr8:21987432-21992433	Upstream Island	0.625	0.58	0.928
chr17:27939145-27944146	Upstream Island	0.619	0.593	0.958
chr1:2456446-2461447	Upstream Island	0.67	0.627	0.936
chr8:143694387-143699388	Upstream Island	0.657	0.687	1.04
chr11:1578333-1583334	Upstream Island	0.628	0.68	1.08
chr9:140084069-140089070	Upstream Island	0.64	0.613	0.958
chr16:1035600-1040601	Upstream Island	0.635	0.667	1.05
chr5:666433-671434	Upstream Island	0.666	0.64	0.962
chr13:113713225-113718226	Upstream Island	0.554	0.607	1.09
chr19:30164152-30169153	Upstream Island	0.602	0.613	1.02
chr14:104164306-104169307	Upstream Island	0.574	0.64	1.12
chr22:23438586-23443587	Upstream Island	0.562	0.633	1.13
chr5:176893676-176898677	Upstream Island	0.581	0.627	1.08
chr7:151420578-151425579	Upstream Island	0.59	0.533	0.903
chr10:126686755-126691756	Upstream Island	0.628	0.607	0.966
chr7:149415235-149420236	Upstream Island	0.564	0.62	1.1
chr19:49012691-49017692	Upstream Island	0.588	0.653	1.11
chr14:24045601-24050602	Upstream Island	0.587	0.653	1.11
chr2:220308535-220313536	Upstream Island	0.693	0.58	0.837
chr4:1006301-1011302	Upstream Island	0.659	0.7	1.06
chr17:78940158-78945159	Upstream Island	0.628	0.627	0.999
chr16:949728-954729	Upstream Island	0.652	0.667	1.02
chr19:46144533-46149534	Upstream Island	0.622	0.7	1.13
chr5:667089-672090	Upstream Island	0.661	0.633	0.959
chr13:114538352-114543353	Upstream Island	0.637	0.673	1.06
chr17:79392601-79397602	Upstream Island	0.655	0.713	1.09
chr13:113730917-113735918	Upstream Island	0.639	0.627	0.98
chr22:46481392-46486393	Upstream Island	0.621	0.727	1.17
chr8:9759465-9764466	Upstream Island	0.652	0.633	0.971
chr15:40529950-40534951	Upstream Island	0.611	0.58	0.949
chr5:179553521-179558522	Upstream Island	0.59	0.62	1.05
chr19:1448536-1453537	Upstream Island	0.667	0.56	0.84
chr22:46467783-46472784	Upstream Island	0.501	0.593	1.18
chr22:51169642-51174643	Upstream Island	0.526	0.647	1.23
chr19:3491724-3496725	Upstream Island	0.524	0.673	1.28
chr5:139028423-139033424	Upstream Island	0.517	0.647	1.25
chr7:128470820-128475821	Upstream Island	0.536	0.653	1.22
chr16:1020230-1025231	Upstream Island	0.598	0.64	1.07
chr22:48972243-48977244	Upstream Island	0.547	0.573	1.05
chr1:2374940-2379941	Upstream Island	0.638	0.74	1.16
chr2:242498136-242503137	Upstream Island	0.637	0.66	1.04
chr22:38379443-38384444	Upstream Island	0.548	0.607	1.11
chr15:41850957-41855958	Upstream Island	0.527	0.627	1.19
chr16:70719872-70724873	Upstream Island	0.61	0.633	1.04
chr1:156215426-156220427	Upstream Island	0.591	0.66	1.12
chr1:1950716-1955717	Upstream Island	0.601	0.62	1.03
chr11:63684363-63689364	Upstream Island	0.621	0.707	1.14
chr2:232545625-232550626	Upstream Island	0.615	0.627	1.02
chr10:134549776-134554777	Upstream Island	0.501	0.52	1.04
chr17:60780946-60785947	Upstream Island	0.506	0.553	1.09
chr7:2719238-2724239	Upstream Island	0.521	0.653	1.25
chr1:34629346-34634347	Upstream Island	0.484	0.64	1.32
chr5:139054970-139059971	Upstream Island	0.537	0.633	1.18
chr19:4032196-4037197	Upstream Island	0.51	0.72	1.41
chr12:56473306-56478307	Upstream Island	0.536	0.513	0.958
chr1:205237587-205242588	Upstream Island	0.552	0.407	0.737
chr19:13112005-13117006	Upstream Island	0.528	0.52	0.986
chr5:131592555-131597556	Upstream Island	0.528	0.653	1.24
chr5:141257178-141262179	Upstream Island	0.53	0.58	1.1
chr10:73766947-73771948	Upstream Island	0.524	0.593	1.13
chr1:203096571-203101572	Upstream Island	0.496	0.647	1.3
chr12:48576544-48581545	Upstream Island	0.453	0.527	1.16
chr8:22013498-22018499	Upstream Island	0.559	0.613	1.1
chr13:113686955-113691956	Upstream Island	0.522	0.5	0.958
chr12:50360564-50365565	Upstream Island	0.548	0.567	1.03
chr19:54927007-54932008	Upstream Island	0.603	0.533	0.885
chr1:156357932-156362933	Upstream Island	0.588	0.573	0.975
chr12:57482437-57487438	Upstream Island	0.594	0.653	1.1
chr9:139839273-139844274	Upstream Island	0.553	0.627	1.13
chr13:114841073-114846074	Upstream Island	0.61	0.7	1.15
chr10:102766278-102771279	Upstream Island	0.588	0.6	1.02
chr19:41219110-41224111	Upstream Island	0.65	0.587	0.902
chr12:122233794-122238795	Upstream Island	0.728	0.633	0.87
chr1:1363510-1368511	Upstream Island	0.654	0.653	0.998
chr5:87966704-87971705	Upstream Island	0.606	0.533	0.881
chr16:1019638-1024639	Upstream Island	0.555	0.553	0.997
chr16:75298752-75303753	Upstream Island	0.486	0.673	1.38
chr16:56224543-56229544	Upstream Island	0.49	0.553	1.13
chr4:569654-574655	Upstream Island	0.483	0.613	1.27
chr3:123166580-123171581	Upstream Island	0.462	0.673	1.46
chr9:139947786-139952787	Upstream Island	0.535	0.68	1.27
chr17:36761045-36766046	Upstream Island	0.564	0.64	1.13
chr17:79360477-79365478	Upstream Island	0.588	0.593	1.01
chr22:39639385-39644386	Upstream Island	0.491	0.62	1.26
chr14:75894495-75899496	Upstream Island	0.539	0.533	0.99
chr20:1874783-1879784	Upstream Island	0.519	0.5	0.963
chr16:89788095-89793096	Upstream Island	0.494	0.607	1.23
chr22:46448323-46453324	Upstream Island	0.489	0.613	1.25
chr9:14313764-14318765	Upstream Island	0.421	0.56	1.33
chr20:58178803-58183804	Upstream Island	0.476	0.52	1.09
chr14:24045056-24050057	Upstream Island	0.534	0.587	1.1
chr17:80620346-80625347	Upstream Island	0.551	0.593	1.08
chr9:131154253-131159254	Upstream Island	0.509	0.56	1.1
chr20:44034391-44039392	Upstream Island	0.45	0.58	1.29
chr22:46448929-46453930	Upstream Island	0.418	0.567	1.36
chr16:56225148-56230149	Upstream Island	0.405	0.62	1.53
chr19:57348260-57353261	Upstream Island	0.511	0.6	1.17
chr11:63685240-63690241	Upstream Island	0.503	0.607	1.21
chr18:12418738-12423739	Upstream Island	0.547	0.627	1.15
chr2:242497476-242502477	Upstream Island	0.66	0.64	0.97
chr17:27069825-27074826	Upstream Island	0.598	0.593	0.992
